x,y,Frequency
44.730976,-63.352825,4
,0,4
44.703204,-63.595248,4
44.725199,-63.667093,4
,0,4
45.952345,-59.955517,4
47.189907,-67.91176,4
,0,4
46.417889,-66.5215,4
51.035589,-114.06673,4
,0,4
48.168664,-53.972592,4
,0,4
47.406304,-54.886839,4
44.120777,-77.629478,4
46.083947,-67.203325,4
45.502031,-73.570992,4
53.538383,-113.494902,4
46.282633,-66.073379,4
,0,4
43.648787,-79.380163,4
46.417889,-66.5215,4
49.284074,-123.118572,4
,0,4
,0,4
46.282633,-66.073379,4
47.029004,-64.962775,4
,0,4
46.552099,-66.166269,4
43.643178,-79.413152,4
50.431156,-104.617992,4
,0,4
,0,4
,0,4
43.649129,-79.37811,4
51.177723,-115.569127,4
,0,4
,0,4
,0,4
,0,4
47.570955,-52.739548,4
,0,4
44.781537,-63.698694,4
46.923822,-65.823223,4
,0,4
,0,4
,0,4
45.749285,-60.622219,4
,0,4
,0,4
,0,4
,0,4
,0,4
45.502058,-73.568434,4
46.059592,-64.79708,4
,0,4
,0,4
47.563989,-52.715109,4
,0,4
,0,4
,0,4
,0,4
,0,4
,0,4
,0,4
,0,4
48.09676,-77.790273,4
,0,4
46.022649,-66.689282,4
43.830902,-66.120343,4
,0,4
47.539302,-52.74861,4
46.738452,-60.460412,4
,0,4
,0,4
,0,4
,0,4
46.215362,-63.090434,4
,0,4
53.2221,-114.978682,4
,0,4
46.224529,-64.750645,4
,0,4
44.715156,-63.579867,4
49.240778,-122.779867,4
45.618035,-65.603226,4
45.68186,-65.37338,4
,0,4
,0,4
,0,4
,0,4
,0,4
,0,4
46.142879,-59.865105,4
,0,4
,0,4
,0,4
,0,4
45.999919,-61.087997,4
44.734231,-63.748855,4
,0,4
44.573998,-80.943631,4
45.434319,-75.681437,4
45.418538,-75.698402,4
45.389588,-75.726403,4
45.346574,-75.705611,4
,0,4
45.864713,-65.890279,4
45.901466,-64.373639,4
,0,4
45.901699,-66.711795,4
47.288024,-68.632318,4
,0,4
,0,4
,0,4
,0,4
,0,4
,0,4
,0,4
45.475861,-73.836908,4
46.327447,-72.408621,4
46.327447,-72.408621,4
,0,4
45.471517,-73.85845,4
46.327447,-72.408621,4
,0,4
,0,4
45.471517,-73.85845,4
,0,4
45.475861,-73.836908,4
,0,4
46.044877,-66.084188,4
,0,4
,0,4
,0,4
,0,4
,0,4
,0,4
,0,4
,0,4
,0,4
45.408924,-65.979201,4
46.183839,-60.016746,4
45.545684,-73.504824,4
47.288024,-68.632318,4
,0,4
46.251313,-62.86322,4
,0,4
45.359713,-72.757912,4
,0,4
,0,4
,0,4
,0,4
,0,4
,0,4
,0,4
,0,4
,0,4
,0,4
,0,4
,0,4
45.749285,-60.622219,4
47.550534,-52.729918,4
,0,4
46.791222,-65.779245,4
,0,4
45.922847,-66.638855,4
46.269805,-63.1439,4
,0,4
53.535068,-114.001207,4
46.105151,-64.833317,4
,0,4
,0,4
,0,4
45.952345,-59.955517,4
47.288024,-68.632318,4
45.336995,-67.160773,4
46.079107,-64.818243,4
45.978923,-66.63451,4
47.530969,-67.390913,4
,0,4
49.244755,-124.034699,4
45.594594,-73.572833,4
45.433278,-75.674884,4
48.421195,-53.581586,4
45.537041,-73.595475,4
,0,4
,0,4
46.351813,-72.57689,4
56.245269,-117.316437,4
45.978763,-60.856056,4
,0,4
47.040043,-65.443617,4
,0,4
46.187054,-66.607407,4
,0,4
45.115688,-67.020717,4
,0,4
,0,4
49.203975,-57.430338,4
,0,4
42.208856,-82.965552,4
,0,4
,0,4
,0,4
49.835973,-99.971968,4
47.439586,-68.367835,4
,0,4
,0,4
50.346136,-113.776841,4
,0,4
46.224529,-64.750645,4
,0,4
,0,4
45.421076,-75.693057,4
,0,4
,0,4
,0,4
,0,4
,0,4
,0,4
54.414346,-110.209087,4
,0,4
,0,4
,0,4
45.901699,-66.711795,4
46.200309,-59.959844,4
,0,4
46.129178,-65.866799,4
45.442315,-75.607834,4
45.222757,-72.526869,4
48.476785,-81.346274,4
46.231029,-60.248132,4
46.079107,-64.818243,4
,0,4
43.521687,-80.649385,4
46.082297,-73.184995,4
46.247553,-63.130118,4
44.306781,-77.79522,4
46.215362,-63.090434,4
